proto,dur,sbytes,dbytes,Spkts,Dpkts,smeansz,dmeansz,Stime,Ltime,Sintpkt,Dintpkt,pkt_sizes_src,pkt_sizes_dst,prev_pkt_time_src,prev_pkt_time_dst
TCP,90.4065454006195,3454,1531,12,9,287.8333333333333,170.11111111111111,1756417542.1259527,1756417632.5324981,8.21172337098555,11.294764816761017,"[66, 54, 1434, 849, 54, 134, 591, 54, 54, 54, 55, 55]","[66, 324, 54, 373, 474, 54, 54, 66, 66]",1756417632.4549098,1756417632.5324981
TCP,60.53374171257019,66,498,1,9,66.0,55.333333333333336,1756417544.0393357,1756417604.5730774,0.0,7.566717714071274,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",1756417544.3849688,1756417604.5730774
TCP,62.43827486038208,66,498,1,9,66.0,55.333333333333336,1756417554.3732028,1756417616.8114777,0.0,7.80478435754776,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",1756417554.710322,1756417616.8114777
TCP,59.36087441444397,66,498,1,9,66.0,55.333333333333336,1756417564.7257245,1756417624.0865989,0.0,7.420109301805496,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",1756417565.0528035,1756417624.0865989
TCP,48.33927130699158,132,534,2,9,66.0,59.333333333333336,1756417575.0487285,1756417623.3879998,0.010908126831054688,6.042408913373947,"[66, 66]","[66, 66, 66, 66, 54, 54, 54, 54, 54]",1756417578.3819935,1756417623.3879998
TCP,63.272796392440796,66,498,1,9,66.0,55.333333333333336,1756417588.4617908,1756417651.7345872,0.0,7.9090995490550995,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",1756417588.8058257,1756417651.7345872
UDP,0.07055878639221191,215,92,1,1,215.0,92.0,1756417595.3618815,1756417595.4324403,0.0,0.0,[215],[92],1756417595.4324403,1756417595.3618815
UDP,0.07869958877563477,276,92,1,1,276.0,92.0,1756417595.3618815,1756417595.440581,0.0,0.0,[276],[92],1756417595.440581,1756417595.3618815
TCP,29.05781316757202,66,444,1,8,66.0,55.5,1756417598.8332872,1756417627.8911004,0.0,4.151116166796003,[66],"[66, 54, 54, 54, 54, 54, 54, 54]",1756417599.1487167,1756417627.8911004
UDP,0.04361987113952637,160,146,1,2,160.0,73.0,1756417600.1738448,1756417600.2174647,0.0,0.03184175491333008,[160],"[73, 73]",1756417600.2174647,1756417600.2056866
UDP,0.5280938148498535,5294,3962,10,10,529.4,396.2,1756417606.810575,1756417607.3386688,0.050154924392700195,0.05215340190463596,"[1292, 1292, 1292, 115, 423, 73, 74, 581, 74, 78]","[82, 1292, 1292, 626, 163, 69, 217, 70, 85, 66]",1756417607.2619693,1756417607.3386688
TCP,21.89892077445984,66,444,1,8,66.0,55.5,1756417609.1517282,1756417631.050649,0.0,3.1284172534942627,[66],"[66, 54, 54, 54, 54, 54, 54, 54]",1756417609.3902304,1756417631.050649
TCP,22.51208996772766,66,444,1,8,66.0,55.5,1756417619.4017084,1756417641.9137983,0.0,3.216012852532523,[66],"[66, 54, 54, 54, 54, 54, 54, 54]",1756417619.647306,1756417641.9137983
TCP,20.691229581832886,66,444,1,8,66.0,55.5,1756417629.6429825,1756417650.334212,0.0,2.955889940261841,[66],"[66, 54, 54, 54, 54, 54, 54, 54]",1756417629.8692772,1756417650.334212
TCP,7.199183225631714,66,336,1,6,66.0,56.0,1756417639.878986,1756417647.078169,0.0,1.4398366451263427,[66],"[66, 54, 54, 54, 54, 54]",1756417640.2107465,1756417647.078169
TCP,0.30407023429870605,441,333,7,5,63.0,66.6,1756417643.0040965,1756417643.3081667,0.050678372383117676,0.04121243953704834,"[93, 78, 54, 54, 54, 54, 54]","[93, 78, 54, 54, 54]",1756417643.3081667,1756417643.1709843
UDP,0.0741276741027832,164,146,1,2,164.0,73.0,1756417650.2757642,1756417650.349892,0.0,0.042336225509643555,[164],"[73, 73]",1756417650.349892,1756417650.3181005
TCP,1.2005674839019775,66,228,1,4,66.0,57.0,1756417650.349892,1756417651.5504594,0.0,0.4001891613006592,[66],"[66, 54, 54, 54]",1756417650.6585286,1756417651.5504594
