srcip,sport,dstip,dsport,proto,sbytes,dbytes,spkts,dpkts,stime,ltime,swin,dwin,smeansz,dmeansz,pkt_sizes_src,pkt_sizes_dst,dur
13.107.5.93,443,192.168.0.163,49691,TCP,8184,2740,16,12,1756410094.6042926,1756410096.1935906,16385,508,511.5,228.33333333333334,"[66, 153, 153, 1434, 1434, 1434, 73, 54, 513, 1434, 155, 1065, 54, 54, 54, 54]","[66, 54, 763, 834, 66, 54, 54, 609, 54, 54, 78, 54]",1.5892980098724365
103.235.46.102,80,192.168.0.163,49692,TCP,66,390,1,7,1756410096.1203995,1756410111.6969457,8192,512,66.0,55.714285714285715,[66],"[66, 54, 54, 54, 54, 54, 54]",15.57654619216919
13.107.5.93,443,192.168.0.163,49693,TCP,3464,2794,12,13,1756410101.5344913,1756410103.0404449,0,508,288.6666666666667,214.92307692307693,"[66, 153, 54, 336, 54, 1434, 154, 54, 54, 997, 54, 54]","[66, 54, 763, 834, 54, 621, 54, 54, 54, 54, 78, 54, 54]",1.5059535503387451
192.168.0.1,53,192.168.0.163,64933,UDP,310,150,2,2,1756410101.9206066,1756410101.9746008,0,0,155.0,75.0,"[155, 155]","[75, 75]",0.053994178771972656
13.107.5.93,443,192.168.0.163,49694,TCP,8848,2420,14,16,1756410101.9589784,1756410106.854438,16387,508,632.0,151.25,"[66, 153, 54, 1434, 88, 54, 1434, 1434, 513, 54, 1434, 997, 1079, 54]","[66, 54, 571, 398, 54, 66, 74, 66, 54, 669, 54, 54, 66, 66, 54, 54]",4.8954596519470215
192.168.0.1,53,192.168.0.163,53407,UDP,215,150,1,2,1756410101.9746008,1756410102.075936,0,0,215.0,75.0,[215],"[75, 75]",0.10133528709411621
192.168.0.163,63542,54.217.10.153,443,TCP,2115,3418,11,6,1756410102.29883,1756410114.6040335,568,212,192.27272727272728,569.6666666666666,"[74, 74, 74, 66, 475, 475, 475, 66, 78, 66, 192]","[74, 78, 1354, 492, 1354, 66]",12.305203437805176
192.168.0.1,53,192.168.0.163,50815,UDP,286,90,1,1,1756410102.4196444,1756410102.563951,0,0,286.0,90.0,[286],[90],0.14430665969848633
192.168.0.1,53,192.168.0.163,54570,UDP,346,90,1,1,1756410102.4206502,1756410102.5361273,0,0,346.0,90.0,[346],[90],0.11547708511352539
13.107.5.93,443,192.168.0.163,49695,TCP,7905,2214,14,13,1756410102.495265,1756410108.3438144,16387,508,564.6428571428571,170.30769230769232,"[66, 153, 54, 1434, 1434, 54, 1434, 88, 513, 1434, 136, 997, 54, 54]","[66, 54, 571, 54, 398, 66, 66, 54, 669, 54, 54, 54, 54]",5.8485493659973145
192.168.0.163,49696,20.111.1.3,443,TCP,5556,8231,19,15,1756410102.563951,1756410114.3204288,0,16384,292.42105263157896,548.7333333333333,"[66, 54, 1434, 605, 831, 66, 74, 66, 54, 128, 888, 66, 66, 888, 54, 54, 54, 54, 54]","[66, 54, 153, 1434, 1434, 607, 1434, 1434, 54, 432, 535, 432, 54, 54, 54]",11.75647783279419
192.168.0.1,53,192.168.0.163,60491,UDP,328,146,2,2,1756410106.4625175,1756410106.4998815,0,0,164.0,73.0,"[164, 164]","[73, 73]",0.03736400604248047
103.235.46.115,80,192.168.0.163,49697,TCP,66,390,1,7,1756410106.4998815,1756410117.3529081,8192,512,66.0,55.714285714285715,[66],"[66, 54, 54, 54, 54, 54, 54]",10.853026628494263
192.168.0.1,53,192.168.0.163,63822,UDP,215,92,1,1,1756410106.854438,1756410106.9155965,0,0,215.0,92.0,[215],[92],0.06115841865539551
192.168.0.1,53,192.168.0.163,55436,UDP,275,92,1,1,1756410106.854438,1756410106.910586,0,0,275.0,92.0,[275],[92],0.05614805221557617
192.168.0.163,49698,20.189.173.16,443,TCP,9520,7929,24,16,1756410106.9176037,1756410114.5098429,509,16387,396.6666666666667,495.5625,"[66, 54, 1434, 607, 833, 66, 66, 74, 66, 54, 128, 146, 544, 1215, 54, 1215, 1215, 85, 167, 1215, 54, 54, 54, 54]","[66, 153, 1434, 1434, 900, 1434, 1434, 157, 54, 428, 66, 54, 153, 54, 54, 54]",7.592239141464233
192.168.0.130,50797,239.255.255.250,1900,UDP,167,0,1,0,1756410113.3341753,1756410113.3341753,0,0,167.0,0.0,[167],[],0.0
103.235.46.115,80,192.168.0.163,49699,TCP,66,336,1,6,1756410116.745247,1756410121.6346555,8192,512,66.0,56.0,[66],"[66, 54, 54, 54, 54, 54]",4.889408588409424
